age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;y
30;student;unmarried;university.degree;no;no;no;cellular;nov;fri;585;no
30;technician;married;professional.course;no;yes;no;telephone;nov;wed;6;no
55;admin.;married;basic.9y;no;yes;yes;cellular;nov;thu;430;no
34;admin.;unmarried;university.degree;no;yes;no;cellular;aug;wed;1038;yes
32;blue-collar;married;basic.9y;no;no;no;cellular;nov;tue;55;no
39;services;married;professional.course;no;yes;no;cellular;jul;mon;751;yes
23;student;unmarried;basic.9y;no;yes;yes;cellular;sep;mon;218;yes
24;blue-collar;unmarried;high.school;no;yes;no;cellular;jul;fri;203;no
24;services;unmarried;high.school;no;no;no;telephone;may;mon;757;yes
32;unemployed;unmarried;high.school;no;no;no;telephone;may;wed;153;no
32;student;married;university.degree;no;no;no;cellular;nov;wed;154;no
33;admin.;married;professional.course;no;no;yes;cellular;may;thu;178;no
46;technician;married;professional.course;no;yes;no;telephone;dec;mon;679;yes
32;admin.;unmarried;university.degree;no;no;no;telephone;may;tue;530;no
46;entrepreneur;unmarried;high.school;no;yes;no;cellular;nov;thu;88;no
27;blue-collar;married;basic.4y;no;yes;no;cellular;may;thu;88;no
29;technician;unmarried;professional.course;no;yes;no;cellular;nov;fri;1555;yes
39;services;unmarried;high.school;no;no;no;telephone;jun;fri;48;no
43;admin.;unmarried;high.school;no;no;no;cellular;jul;wed;764;yes
32;technician;unmarried;high.school;no;no;no;telephone;jun;mon;68;no
34;blue-collar;unmarried;high.school;no;yes;no;telephone;oct;wed;266;yes
34;technician;married;professional.course;no;no;no;cellular;aug;fri;192;no
70;retired;married;basic.4y;no;yes;no;cellular;apr;wed;223;yes
63;retired;married;basic.4y;no;no;no;cellular;jul;fri;273;no
35;admin.;married;university.degree;no;yes;no;telephone;may;mon;193;no
25;admin.;unmarried;high.school;no;yes;no;cellular;apr;wed;416;yes
26;technician;unmarried;university.degree;no;no;no;cellular;sep;fri;374;yes
27;student;unmarried;basic.9y;no;yes;yes;cellular;may;mon;775;yes
22;student;unmarried;high.school;no;yes;yes;cellular;may;tue;131;yes
32;blue-collar;unmarried;basic.9y;no;yes;no;telephone;jun;mon;22;no
36;admin.;married;university.degree;no;yes;no;cellular;jul;mon;105;no
52;admin.;married;university.degree;no;yes;yes;cellular;jun;wed;247;yes
68;retired;married;professional.course;no;no;yes;cellular;may;thu;420;yes
38;blue-collar;married;basic.6y;no;yes;no;telephone;may;fri;110;no
38;admin.;married;high.school;no;no;no;telephone;jun;tue;147;no
29;technician;unmarried;university.degree;no;yes;yes;cellular;nov;thu;281;no
39;technician;married;professional.course;no;no;no;cellular;jul;thu;84;no
26;self-employed;married;university.degree;no;no;no;cellular;may;wed;367;yes
47;admin.;unmarried;basic.9y;no;yes;yes;cellular;jul;thu;392;yes
53;admin.;married;high.school;no;no;no;cellular;may;thu;168;no
29;blue-collar;unmarried;basic.9y;no;no;no;cellular;jul;wed;243;no
24;technician;married;university.degree;no;yes;yes;cellular;sep;tue;89;yes
32;services;unmarried;basic.6y;no;yes;no;telephone;jun;fri;307;no
43;admin.;unmarried;high.school;no;yes;no;telephone;may;fri;425;no
31;admin.;unmarried;university.degree;no;yes;no;cellular;apr;thu;370;yes
59;technician;unmarried;professional.course;no;yes;no;cellular;aug;fri;492;no
38;admin.;married;university.degree;no;yes;no;cellular;aug;fri;175;no
29;unemployed;unmarried;basic.4y;no;no;yes;cellular;jun;wed;243;yes
31;blue-collar;married;professional.course;no;no;no;cellular;aug;thu;414;yes
34;services;unmarried;high.school;no;yes;no;telephone;may;thu;207;no
32;management;unmarried;university.degree;no;yes;no;cellular;mar;tue;71;yes
37;technician;married;professional.course;no;no;no;telephone;jun;fri;26;no
25;admin.;unmarried;university.degree;no;yes;no;cellular;apr;thu;229;yes
58;retired;unmarried;high.school;no;yes;no;cellular;jun;tue;663;yes
29;blue-collar;unmarried;high.school;no;yes;yes;cellular;may;wed;146;no
26;admin.;married;high.school;no;yes;no;cellular;oct;mon;703;yes
32;admin.;unmarried;university.degree;no;no;no;telephone;may;fri;588;yes
53;technician;unmarried;professional.course;no;no;no;cellular;aug;wed;293;no
38;housemaid;unmarried;high.school;no;yes;no;cellular;mar;fri;422;yes
37;technician;unmarried;professional.course;no;no;yes;cellular;aug;wed;175;no
38;technician;unmarried;professional.course;no;no;no;cellular;sep;thu;430;yes
58;management;married;university.degree;no;no;yes;telephone;may;mon;312;no
26;admin.;unmarried;university.degree;no;yes;no;cellular;may;thu;320;no
28;blue-collar;married;basic.9y;no;yes;no;telephone;may;tue;180;no
35;admin.;unmarried;high.school;no;no;yes;telephone;may;fri;813;yes
68;retired;married;university.degree;no;yes;no;cellular;apr;fri;330;yes
31;admin.;unmarried;university.degree;no;yes;no;cellular;may;mon;274;yes
55;management;married;university.degree;no;yes;no;cellular;jun;tue;114;yes
53;management;unmarried;university.degree;no;no;no;cellular;sep;tue;404;yes
51;self-employed;unmarried;university.degree;no;yes;no;cellular;nov;wed;670;yes
30;admin.;unmarried;university.degree;no;yes;no;cellular;apr;thu;502;yes
23;admin.;unmarried;high.school;no;yes;no;cellular;jul;tue;141;no
31;admin.;unmarried;university.degree;no;yes;no;cellular;jul;wed;1327;yes
33;technician;married;professional.course;no;yes;no;telephone;oct;wed;171;yes
40;blue-collar;married;basic.9y;no;yes;no;telephone;jun;mon;154;no
33;management;married;university.degree;no;yes;no;telephone;may;thu;144;no
29;admin.;unmarried;university.degree;no;no;no;cellular;aug;thu;134;no
28;services;married;basic.9y;no;yes;no;telephone;oct;fri;186;yes
50;admin.;unmarried;high.school;no;yes;no;telephone;dec;fri;705;yes
34;entrepreneur;married;high.school;no;yes;yes;cellular;may;thu;97;no
30;technician;unmarried;professional.course;no;no;yes;cellular;nov;tue;835;yes
29;technician;unmarried;high.school;no;no;no;cellular;jul;wed;191;no
36;admin.;unmarried;basic.9y;no;yes;no;cellular;may;tue;458;yes
43;admin.;married;high.school;no;no;no;cellular;jul;mon;81;no
46;technician;married;professional.course;no;no;no;cellular;nov;thu;108;no
39;technician;unmarried;high.school;no;no;no;cellular;mar;mon;222;yes
53;technician;unmarried;professional.course;no;yes;no;cellular;nov;wed;1468;yes
48;unemployed;married;university.degree;no;yes;no;cellular;mar;tue;279;yes
19;student;unmarried;basic.6y;no;no;no;cellular;mar;tue;136;yes
56;technician;unmarried;professional.course;no;yes;no;telephone;jul;fri;159;no
31;technician;unmarried;professional.course;no;yes;no;cellular;aug;tue;935;yes
36;services;unmarried;high.school;no;no;no;cellular;may;fri;7;no
38;technician;married;university.degree;no;no;no;cellular;oct;fri;156;yes
28;services;unmarried;high.school;no;yes;yes;cellular;may;wed;562;yes
36;management;married;university.degree;no;no;no;cellular;jul;wed;777;yes
45;unemployed;married;university.degree;no;yes;no;cellular;jul;mon;122;no
37;student;unmarried;university.degree;no;yes;no;cellular;may;thu;489;yes
31;services;unmarried;professional.course;no;yes;no;telephone;oct;tue;373;yes
40;technician;married;university.degree;no;no;no;cellular;aug;mon;342;no
39;services;married;high.school;no;no;no;cellular;may;mon;294;no
38;services;married;high.school;no;yes;no;cellular;may;thu;532;no
23;student;unmarried;professional.course;no;yes;no;cellular;sep;wed;316;yes
31;technician;unmarried;university.degree;no;no;no;cellular;jul;thu;305;no
28;management;unmarried;university.degree;no;yes;no;cellular;jun;thu;169;yes
37;self-employed;married;university.degree;no;no;no;telephone;jun;mon;133;no
38;blue-collar;married;basic.4y;no;no;yes;telephone;may;tue;144;no
30;technician;married;university.degree;no;no;yes;cellular;aug;mon;117;no
34;admin.;unmarried;university.degree;no;no;no;cellular;may;tue;146;no
24;student;unmarried;high.school;no;yes;no;cellular;apr;thu;88;no
24;services;unmarried;high.school;no;yes;no;cellular;jul;thu;355;yes
30;services;unmarried;high.school;no;no;no;cellular;nov;fri;648;yes
21;student;unmarried;high.school;no;yes;no;cellular;jun;mon;270;yes
33;admin.;unmarried;university.degree;no;yes;yes;cellular;may;fri;1024;yes
58;unemployed;unmarried;basic.9y;no;yes;no;telephone;oct;wed;509;yes
34;technician;unmarried;professional.course;no;yes;no;cellular;mar;fri;266;yes
41;services;unmarried;university.degree;no;yes;no;cellular;aug;fri;142;yes
32;blue-collar;married;basic.9y;no;no;no;cellular;apr;fri;462;no
45;admin.;married;university.degree;no;yes;yes;telephone;may;wed;369;no
57;retired;unmarried;professional.course;no;yes;no;telephone;may;mon;188;no
33;admin.;married;university.degree;no;yes;no;cellular;apr;wed;623;yes
30;admin.;married;university.degree;no;no;no;cellular;apr;wed;520;no
39;blue-collar;married;basic.6y;no;no;no;telephone;jun;tue;1340;no
40;services;unmarried;high.school;no;yes;no;telephone;jun;fri;685;yes
37;admin.;married;high.school;no;yes;no;cellular;jul;thu;230;no
25;technician;unmarried;professional.course;no;yes;no;cellular;nov;fri;712;yes
52;technician;married;high.school;no;no;no;cellular;dec;fri;406;yes
37;technician;unmarried;university.degree;no;no;no;cellular;jun;tue;654;yes
28;admin.;unmarried;high.school;no;no;no;telephone;mar;fri;234;yes
25;admin.;married;high.school;no;no;yes;telephone;may;tue;125;no
34;technician;married;professional.course;no;yes;no;cellular;jul;wed;144;no
30;admin.;unmarried;university.degree;no;no;yes;telephone;jul;tue;215;no
49;entrepreneur;unmarried;basic.9y;no;no;no;cellular;may;fri;166;no
56;unemployed;married;professional.course;no;no;no;cellular;sep;fri;1551;no
28;admin.;married;university.degree;no;no;no;telephone;jun;wed;392;no
36;blue-collar;married;basic.9y;no;yes;yes;telephone;may;mon;98;no
25;blue-collar;unmarried;basic.6y;no;no;no;cellular;mar;tue;228;yes
25;admin.;unmarried;university.degree;no;yes;no;cellular;may;fri;11;no
86;retired;married;professional.course;no;no;no;telephone;dec;wed;343;yes
28;admin.;unmarried;high.school;no;no;no;cellular;jun;mon;491;yes
37;admin.;unmarried;high.school;no;no;no;cellular;jul;thu;609;yes
40;blue-collar;unmarried;basic.9y;no;yes;no;cellular;nov;fri;893;yes
58;services;married;high.school;no;no;no;telephone;jun;fri;181;no
30;admin.;unmarried;university.degree;no;no;no;cellular;nov;tue;266;yes
47;admin.;married;basic.9y;no;yes;no;telephone;nov;fri;64;no
49;admin.;married;university.degree;no;no;no;cellular;may;wed;155;no
38;blue-collar;married;basic.9y;no;no;no;cellular;jul;fri;610;yes
33;admin.;married;university.degree;no;yes;no;telephone;nov;fri;148;no
21;self-employed;unmarried;university.degree;no;yes;yes;cellular;apr;mon;169;no
38;blue-collar;married;basic.6y;no;no;yes;cellular;may;tue;306;no
42;admin.;unmarried;high.school;no;no;no;cellular;sep;wed;638;yes
28;technician;married;university.degree;no;no;no;cellular;jul;mon;289;no
55;technician;married;basic.9y;no;yes;no;telephone;jun;tue;183;no
44;admin.;unmarried;high.school;no;no;no;cellular;oct;thu;634;no
30;services;unmarried;high.school;no;no;no;telephone;jul;thu;444;no
33;entrepreneur;married;university.degree;no;yes;no;telephone;jul;mon;35;no
50;admin.;married;basic.9y;no;no;no;telephone;may;thu;752;no
32;admin.;married;professional.course;no;yes;no;cellular;oct;tue;435;yes
36;management;married;basic.6y;no;yes;yes;cellular;aug;thu;354;yes
27;technician;married;university.degree;no;yes;no;cellular;jul;tue;459;no
53;technician;married;professional.course;no;yes;no;cellular;apr;thu;301;yes
34;technician;married;university.degree;no;yes;no;cellular;jun;tue;195;yes
24;services;unmarried;basic.9y;no;no;no;cellular;jul;wed;105;no
28;services;unmarried;high.school;no;yes;no;cellular;jul;thu;957;yes
46;blue-collar;unmarried;high.school;no;no;no;telephone;jun;fri;310;no
46;admin.;unmarried;university.degree;no;no;no;cellular;may;mon;70;no
49;entrepreneur;married;high.school;no;no;no;cellular;may;tue;123;no
26;admin.;unmarried;high.school;no;no;no;cellular;mar;tue;273;yes
35;technician;married;university.degree;no;yes;no;cellular;aug;wed;455;yes
33;blue-collar;unmarried;basic.9y;no;yes;no;cellular;jul;tue;531;yes
34;admin.;married;university.degree;no;no;no;cellular;nov;fri;124;no
38;technician;married;basic.4y;no;no;yes;cellular;apr;fri;244;no
24;student;unmarried;high.school;no;yes;no;cellular;aug;fri;456;yes
34;self-employed;unmarried;university.degree;no;no;no;cellular;jul;thu;967;yes
33;admin.;unmarried;high.school;no;no;no;cellular;may;tue;154;no
37;management;married;university.degree;no;no;no;cellular;nov;thu;89;no
46;unemployed;unmarried;university.degree;no;no;no;cellular;mar;tue;263;yes
40;technician;unmarried;university.degree;no;no;no;cellular;nov;mon;130;yes
32;blue-collar;married;basic.9y;no;yes;yes;cellular;apr;fri;482;yes
33;technician;married;university.degree;no;yes;yes;telephone;jul;wed;89;no
36;admin.;unmarried;high.school;no;no;no;telephone;jun;thu;80;no
27;services;unmarried;university.degree;no;yes;no;cellular;mar;fri;229;yes
35;admin.;married;university.degree;no;yes;yes;cellular;aug;thu;176;no
28;blue-collar;married;basic.9y;no;no;no;telephone;may;fri;90;no
30;technician;unmarried;university.degree;no;no;yes;cellular;nov;thu;303;no
36;admin.;unmarried;university.degree;no;yes;yes;cellular;jun;wed;1407;yes
50;admin.;unmarried;university.degree;no;no;no;cellular;aug;tue;372;yes
42;housemaid;married;basic.4y;no;yes;no;telephone;may;mon;130;no
40;blue-collar;unmarried;basic.9y;no;no;no;telephone;jun;mon;121;no
27;services;unmarried;high.school;no;no;no;telephone;may;fri;86;no
40;admin.;unmarried;basic.9y;no;yes;no;cellular;may;thu;356;yes
28;blue-collar;married;basic.4y;no;no;no;telephone;jun;mon;149;no
29;admin.;unmarried;university.degree;no;yes;no;cellular;aug;thu;435;no
34;entrepreneur;married;basic.4y;no;yes;no;telephone;may;fri;233;no
37;admin.;unmarried;university.degree;no;yes;no;cellular;oct;thu;447;yes
37;services;unmarried;high.school;no;yes;no;cellular;jul;wed;411;no
30;self-employed;unmarried;university.degree;no;yes;no;cellular;jul;tue;185;no
32;technician;married;professional.course;no;no;no;telephone;may;wed;546;no
36;technician;unmarried;basic.9y;no;no;no;cellular;nov;thu;174;no
54;admin.;unmarried;university.degree;no;no;no;cellular;nov;tue;67;no
43;management;married;university.degree;no;no;no;cellular;aug;wed;204;no
30;blue-collar;married;basic.9y;no;yes;no;cellular;jul;mon;332;no
53;technician;unmarried;high.school;no;yes;no;cellular;may;thu;151;no
31;blue-collar;unmarried;basic.9y;no;no;no;cellular;may;tue;7;no
28;technician;unmarried;professional.course;no;yes;no;cellular;nov;wed;238;yes
33;blue-collar;married;basic.9y;no;no;no;telephone;jun;mon;209;no
31;admin.;unmarried;basic.9y;no;no;no;cellular;may;fri;406;yes
37;technician;married;professional.course;no;yes;yes;cellular;aug;wed;733;no
49;technician;married;basic.4y;no;yes;no;cellular;nov;fri;345;no
56;housemaid;unmarried;basic.4y;no;yes;no;cellular;nov;thu;212;no
33;technician;unmarried;university.degree;no;yes;no;cellular;sep;thu;463;yes
30;unemployed;unmarried;basic.9y;no;yes;no;cellular;nov;tue;537;yes
26;services;married;high.school;no;yes;yes;cellular;jul;wed;134;no
34;blue-collar;married;basic.9y;no;yes;yes;cellular;may;fri;328;no
54;services;unmarried;university.degree;no;no;no;cellular;may;tue;499;yes
58;blue-collar;married;basic.4y;no;yes;no;telephone;may;tue;318;no
30;services;unmarried;high.school;no;yes;no;cellular;may;mon;213;no
47;services;married;high.school;no;yes;no;cellular;nov;tue;164;no
39;management;married;university.degree;no;no;no;cellular;nov;thu;73;no
23;student;unmarried;high.school;no;no;yes;cellular;oct;fri;380;yes
35;admin.;unmarried;university.degree;no;yes;no;cellular;nov;thu;191;no
57;services;married;high.school;no;yes;no;cellular;apr;thu;275;no
59;services;married;university.degree;no;yes;no;cellular;oct;mon;162;no
49;admin.;unmarried;high.school;no;no;no;telephone;jul;thu;6;no
21;student;unmarried;high.school;no;no;no;cellular;mar;tue;220;yes
47;housemaid;unmarried;professional.course;no;yes;no;cellular;jun;mon;67;no
37;self-employed;unmarried;university.degree;no;yes;yes;telephone;may;mon;146;no
32;management;unmarried;university.degree;no;yes;yes;cellular;nov;fri;92;no
54;unemployed;unmarried;high.school;no;no;yes;cellular;oct;mon;54;no
35;admin.;unmarried;basic.9y;no;yes;no;cellular;jul;fri;431;no
34;technician;unmarried;professional.course;no;yes;no;cellular;apr;thu;313;yes
30;technician;married;professional.course;no;yes;yes;telephone;jun;mon;82;no
35;admin.;unmarried;university.degree;no;yes;no;cellular;aug;mon;773;yes
41;housemaid;married;high.school;no;yes;no;telephone;nov;fri;1074;yes
41;technician;married;professional.course;no;yes;no;cellular;nov;mon;185;no
58;technician;married;basic.9y;no;yes;no;cellular;aug;mon;324;yes
33;admin.;married;university.degree;no;yes;no;telephone;may;thu;139;no
54;admin.;married;university.degree;no;yes;yes;cellular;aug;fri;204;yes
34;admin.;unmarried;university.degree;no;no;yes;cellular;mar;tue;236;yes
53;admin.;unmarried;university.degree;no;no;no;telephone;jun;fri;80;no
42;blue-collar;married;basic.4y;no;no;no;cellular;jul;fri;504;no
26;admin.;unmarried;high.school;no;no;yes;cellular;jul;wed;136;no
33;services;married;high.school;no;no;no;telephone;may;thu;63;no
38;blue-collar;married;basic.9y;no;yes;no;cellular;may;tue;161;no
36;technician;unmarried;university.degree;no;no;no;cellular;may;thu;235;no
36;blue-collar;married;basic.9y;no;yes;no;telephone;jun;fri;560;yes
34;technician;married;professional.course;no;yes;no;cellular;oct;wed;442;yes
51;entrepreneur;unmarried;university.degree;no;no;no;cellular;nov;thu;139;no
42;blue-collar;married;basic.4y;no;no;no;cellular;may;wed;151;no
37;technician;married;professional.course;no;no;no;cellular;jun;mon;129;yes
47;technician;unmarried;high.school;no;yes;no;cellular;nov;mon;182;yes
33;admin.;unmarried;university.degree;no;yes;no;cellular;aug;wed;66;no
48;blue-collar;married;basic.4y;no;yes;no;telephone;may;tue;36;no
46;services;married;high.school;no;yes;yes;cellular;jul;wed;149;no
31;admin.;unmarried;university.degree;no;yes;no;telephone;nov;wed;98;no
45;blue-collar;married;basic.9y;no;yes;no;cellular;aug;mon;99;no
41;services;unmarried;high.school;no;yes;yes;cellular;apr;wed;264;yes
30;technician;married;university.degree;no;yes;no;telephone;may;tue;683;yes
29;admin.;married;professional.course;no;yes;no;telephone;jun;wed;583;yes
37;technician;unmarried;professional.course;no;no;no;telephone;may;mon;197;no
56;admin.;unmarried;university.degree;no;yes;no;cellular;may;mon;867;yes
43;blue-collar;married;basic.9y;no;yes;no;telephone;jun;fri;151;no
46;admin.;unmarried;university.degree;no;no;no;cellular;may;mon;344;no
44;technician;married;university.degree;no;yes;no;cellular;aug;tue;231;no
28;management;unmarried;university.degree;no;yes;no;cellular;sep;wed;358;yes
40;management;married;university.degree;no;yes;no;cellular;aug;thu;77;no
30;technician;married;professional.course;no;yes;no;cellular;aug;tue;205;no
51;blue-collar;married;basic.9y;no;yes;no;telephone;jun;mon;159;no
24;blue-collar;unmarried;basic.4y;no;no;no;cellular;jul;wed;115;no
39;housemaid;married;basic.6y;no;yes;no;cellular;jul;fri;76;no
37;services;unmarried;professional.course;no;no;no;cellular;may;fri;258;no
47;blue-collar;married;basic.6y;no;yes;no;cellular;aug;thu;43;no
46;blue-collar;unmarried;basic.9y;no;no;yes;cellular;apr;wed;903;yes
30;services;unmarried;high.school;no;yes;no;cellular;aug;thu;148;yes
51;admin.;unmarried;university.degree;no;no;no;telephone;may;mon;120;no
42;admin.;married;professional.course;no;yes;no;cellular;may;mon;458;yes
33;self-employed;unmarried;university.degree;no;no;no;telephone;nov;thu;352;no
51;blue-collar;married;basic.9y;no;yes;no;cellular;jul;wed;561;yes
46;services;married;high.school;no;yes;yes;cellular;may;wed;270;no
35;services;married;high.school;no;no;no;cellular;apr;thu;1034;yes
41;admin.;unmarried;university.degree;no;no;no;cellular;apr;mon;115;no
48;entrepreneur;married;university.degree;no;yes;no;cellular;jul;thu;207;no
38;blue-collar;unmarried;basic.9y;no;yes;no;telephone;may;mon;179;no
59;retired;married;basic.9y;no;no;no;cellular;aug;wed;351;no
28;admin.;unmarried;university.degree;no;no;no;cellular;mar;wed;411;yes
35;services;unmarried;high.school;no;no;no;telephone;jun;mon;41;no
52;blue-collar;unmarried;basic.4y;no;no;no;telephone;jun;thu;910;yes
32;admin.;married;university.degree;no;no;no;cellular;aug;thu;97;no
28;admin.;unmarried;university.degree;no;yes;yes;cellular;apr;thu;68;no
46;blue-collar;married;basic.9y;no;no;no;cellular;may;thu;792;yes
49;management;married;university.degree;no;no;no;cellular;jul;mon;549;no
46;housemaid;unmarried;university.degree;no;yes;yes;cellular;jun;fri;324;yes
67;retired;married;university.degree;no;no;no;cellular;aug;tue;201;no
55;blue-collar;married;basic.4y;no;no;no;cellular;aug;thu;94;no
26;student;unmarried;high.school;no;no;no;cellular;may;mon;716;yes
29;technician;unmarried;high.school;no;yes;no;cellular;aug;tue;130;no
51;unemployed;married;high.school;no;yes;no;cellular;nov;thu;120;no
25;services;unmarried;high.school;no;yes;no;cellular;jun;thu;239;yes
54;entrepreneur;married;professional.course;no;no;no;cellular;nov;tue;1855;yes
31;student;unmarried;university.degree;no;yes;yes;cellular;apr;fri;183;yes
43;management;married;basic.6y;no;no;no;cellular;apr;wed;121;no
48;admin.;married;professional.course;no;no;no;cellular;aug;tue;369;no
46;services;married;high.school;no;no;no;telephone;jul;wed;83;no
49;technician;married;professional.course;no;no;no;cellular;jul;fri;96;no
32;technician;unmarried;university.degree;no;no;yes;cellular;may;tue;542;no
80;retired;unmarried;high.school;no;yes;no;cellular;oct;thu;169;yes
40;self-employed;unmarried;university.degree;no;yes;no;cellular;jul;wed;1065;yes
49;unemployed;married;professional.course;no;no;no;cellular;jun;tue;229;no
31;management;married;university.degree;no;no;no;telephone;may;mon;100;no
32;technician;unmarried;university.degree;no;yes;no;cellular;may;tue;51;no
34;admin.;unmarried;high.school;no;yes;no;cellular;jul;wed;271;no
54;admin.;unmarried;high.school;no;yes;no;cellular;aug;thu;131;yes
25;services;unmarried;high.school;no;no;no;cellular;jul;tue;32;no
29;admin.;married;high.school;no;yes;no;cellular;jun;mon;263;yes
49;blue-collar;married;basic.4y;no;no;no;telephone;may;wed;283;no
34;admin.;unmarried;high.school;no;yes;no;cellular;may;wed;653;yes
23;technician;unmarried;high.school;no;no;no;cellular;may;thu;104;no
30;admin.;unmarried;university.degree;no;yes;no;telephone;may;tue;178;no
57;technician;married;professional.course;no;yes;no;cellular;apr;tue;324;yes
44;admin.;married;university.degree;no;yes;no;cellular;nov;fri;235;no
45;admin.;unmarried;high.school;no;yes;no;cellular;jul;fri;800;no
37;unemployed;unmarried;university.degree;no;yes;no;telephone;nov;thu;76;no
40;blue-collar;married;basic.9y;no;no;no;cellular;apr;thu;328;yes
53;admin.;unmarried;university.degree;no;no;no;cellular;mar;thu;2486;yes
34;blue-collar;unmarried;basic.9y;no;no;no;telephone;may;tue;71;no
29;technician;married;professional.course;no;yes;no;cellular;oct;fri;319;yes
55;admin.;married;high.school;no;no;no;cellular;jul;mon;168;no
28;technician;married;basic.9y;no;yes;no;cellular;may;wed;23;no
29;blue-collar;married;basic.9y;no;no;no;cellular;may;wed;1101;yes
39;technician;married;high.school;no;yes;no;cellular;may;tue;451;no
35;self-employed;married;professional.course;no;no;no;telephone;may;fri;268;no
34;technician;unmarried;university.degree;no;no;no;cellular;jul;tue;117;no
49;admin.;married;university.degree;no;no;no;telephone;jun;wed;29;no
